query_id,query_text,P@5,R@5,F1@5,P@10,R@10,F1@10,P@20,R@20,F1@20,P@50,R@50,F1@50
61,image which,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
62,where time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,graph human,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
64,combined effect resource competition,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,0.95,0.95,0.9500000000000001,0.4,1.0,0.5714285714285715
65,llamaguard2 evaluation results across,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
66,function calling planner responsible,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
67,different prompts used model,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
68,encourages model generalize from,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,speech automatic recognition hori,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
70,name express characteristics expert,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
71,figure comparison gans-based diffusion-based,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
72,consider following baselines from,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
73,currently training large datasets,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,0.95,0.95,0.9500000000000001,0.4,1.0,0.5714285714285715
74,study scale invariant,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
75,speech study data,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
76,study regularization-based continual,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
77,surveillance based interactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.02857142857142857
78,survey cognitive distortion,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
79,survey graph meets,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
80,survey large language,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
81,learning survey multi,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
82,survey reasoning agentic,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
83,survey reasoning foundation,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
84,survey scientific large,0.6,0.15,0.24,0.6,0.3,0.4,0.45,0.45,0.45,0.24,0.6,0.34285714285714286
85,survey cloud-edge-terminal collaborative,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
86,survey data security,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
87,survey diffusion language,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
88,survey graph diffusion,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
89,survey towards privacy,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
90,systematic investigation commonsense,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
91,taxonomy data risks,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
92,theory multi-agent generative,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
93,traditional approach symbolic,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
94,unified approach interpreting,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
95,unified framework diffusion,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
96,video worth tokens,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
97,vision-language pre-training model-guided,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
98,xai-based framework frequency,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
99,a2mamba attention-augmented state,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
100,abidegym turning static,1.0,0.25,0.4,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
