query_id,query_text,source,num_relevant,relevant_chunk_indices
46,comprehensive performance analysis methods,section_head,20,"64951,137848,13447,109979,44823,17276,929,19669,109385,75546,44753,55154,7901,15553,17537,144106,106915,45038,22277,81920"
47,detailed analysis fashionmnist,section_head,20,"49166,105038,51124,66245,40418,26820,43493,122953,2723,18722,12057,21391,53468,129341,37918,32510,40385,45592,24382,63584"
48,algorithm federated broadcast global,section_head,20,"124056,43249,61882,20048,22937,32505,51305,51958,50328,50764,51265,3426,24371,34032,50364,51631,91913,51304,50887,100038"
49,model data,keyword_combination,20,"22938,147820,54172,14641,19316,87702,77361,71868,157422,81780,16360,3786,124943,25100,26075,7530,87046,9851,75942,110920"
50,models figure,keyword_combination,20,"120931,147144,103422,118668,43084,89824,54890,71054,131752,80450,80451,32362,117812,39514,85881,7815,25591,42003,30548,136490"
51,from llms,keyword_combination,20,"10797,10802,7200,12214,144892,81290,142199,65139,142193,10804,10799,144219,10795,4543,1918,12196,16906,153737,83637,97050"
52,performance training,keyword_combination,20,"79074,63920,79084,45925,20577,79187,7533,75942,63400,12456,146347,95876,139265,87858,20312,88813,71126,148889,32344,102851"
53,learning dataset,keyword_combination,20,"31695,121177,12988,21321,51120,150862,140686,48964,1047,97879,92525,51086,33314,22335,24639,27205,141474,141994,89722,8914"
54,reasoning each,keyword_combination,20,"127308,75512,72819,74727,81051,154121,8496,81006,147782,8498,145301,43141,21672,96699,97228,41004,146288,125376,21649,12523"
55,datasets language,keyword_combination,20,"85603,90726,4506,32214,141409,13341,72957,7046,4929,156420,76338,4504,132557,95472,80618,126677,41473,114782,112235,4747"
56,results text,keyword_combination,20,"121033,73920,28840,140532,152617,137498,68656,42605,154722,20930,132105,22756,72897,68150,63515,146365,59756,75071,32459,121034"
57,tasks section,keyword_combination,20,"66345,87168,54131,141468,46594,108915,30949,25568,19176,1911,39789,112088,84020,116841,23664,70391,74578,74537,129497,135337"
58,medical diffusion,keyword_combination,20,"129746,106551,59980,34096,53020,10409,69799,105523,59807,111603,107126,111143,66813,113958,96146,111116,34157,53021,130517,30857"
59,detection methods,keyword_combination,20,"55286,429,157166,157162,116728,151310,93230,120985,6774,157078,25131,43370,56961,4955,23580,138053,147708,64489,29044,20513"
60,scientific knowledge,keyword_combination,20,"45634,97314,146607,40969,8458,4684,146705,12523,4685,69549,3408,85391,60441,84385,4332,28318,4370,102611,4690,44597"
61,image which,keyword_combination,20,"16470,136968,137044,129603,137002,52075,23631,136967,48159,112086,11946,130129,137004,137006,136969,83865,57221,27893,147128,136933"
62,where time,keyword_combination,20,"3180,26683,114970,101699,50989,45043,141591,143433,6647,98237,153674,153679,104871,117359,57996,26672,47551,157311,120627,71984"
63,graph human,keyword_combination,20,"126451,102646,33638,52137,62604,5294,149974,75411,62552,10424,82253,39344,154775,483,43726,6936,39363,62335,14879,91496"
64,combined effect resource competition,chunk_content,20,"2184,110842,53400,2218,88959,2222,76171,28798,125012,2186,1553,50229,136867,135365,20292,134605,134620,108949,43230,160"
65,llamaguard2 evaluation results across,chunk_content,20,"15644,15645,22135,40976,1427,119636,9637,33234,77956,23856,70309,9638,141613,45185,137894,120823,127078,60924,114959,100401"
66,function calling planner responsible,chunk_content,20,"55758,97200,45657,30582,20592,15216,134422,30589,97525,12215,15243,87375,15306,21561,15048,45645,15212,46402,70436,101372"
67,different prompts used model,chunk_content,20,"126472,126471,142767,154723,36591,54455,126434,46272,87952,134228,134226,120709,153861,14636,147217,108843,133453,44784,60882,16796"
68,encourages model generalize from,chunk_content,20,"10609,98591,134227,41406,64875,112297,95774,36070,69244,73108,104141,88139,109666,55541,73107,109622,35906,134463,62911,104147"
69,speech automatic recognition hori,chunk_content,20,"144437,80838,96798,70056,152010,141646,8720,70057,57521,87266,44428,133313,44130,133301,116681,108791,80722,133299,92528,148613"
70,name express characteristics expert,chunk_content,20,"136908,136912,136906,136910,47503,96827,47495,25122,75126,53891,119463,88608,81828,80838,60651,11381,70435,47517,35369,14334"
71,figure comparison gans-based diffusion-based,chunk_content,20,"130546,90703,80184,79654,82927,87471,42465,71099,51224,29913,20385,6742,139059,139058,139057,75615,35241,66831,40718,14490"
72,consider following baselines from,chunk_content,20,"26938,50256,101192,155202,40370,109415,153610,30480,101258,112422,103905,47853,98283,116317,71281,116313,153603,71305,153606,114254"
73,currently training large datasets,chunk_content,20,"4504,4506,125585,42005,72957,110134,3953,85603,4747,25587,32214,89682,89684,141409,9209,89686,89688,95852,141412,43413"
74,study scale invariant,title,20,"86524,108424,70537,90753,30545,6745,19903,10531,76365,52497,74719,131855,104887,53286,53807,35593,60558,120935,123428,88731"
75,speech study data,title,20,"70057,14641,70056,133304,32730,10541,142292,135875,23351,129979,75798,84800,15542,35752,103258,127671,96798,37004,30900,70417"
76,study regularization-based continual,title,20,"88756,133225,115772,28118,97801,109671,72695,62098,43237,110303,14305,45776,48407,81155,22569,72006,48423,27251,11470,115948"
77,surveillance based interactive,title,20,"9068,157104,100602,53245,142301,1660,34978,53465,70110,148976,142609,2952,54344,42671,100173,151546,80033,70904,65736,8944"
78,survey cognitive distortion,title,20,"93728,102646,130583,33513,144185,70280,3878,93727,130592,11312,11300,106541,54910,95173,130590,70707,11314,44572,78735,82792"
79,survey graph meets,title,20,"126451,31731,102646,14879,62604,5294,141379,154775,33638,62552,52137,10424,95436,483,43726,132580,9086,485,83525,62335"
80,survey large language,title,20,"88067,149377,85393,132552,89661,80633,60127,68835,152506,132528,83946,35986,150352,46244,151365,110134,59201,9209,3953,35312"
81,learning survey multi,title,20,"32366,57546,101566,41164,87613,23447,102645,68216,63155,16662,35955,112765,35318,11250,139129,120823,53383,154778,132783,20347"
82,survey reasoning agentic,title,20,"41012,45634,44757,3408,69549,8458,12523,85391,8516,44760,44597,38399,4909,41008,60441,8517,40969,91736,4685,8483"
83,survey reasoning foundation,title,20,"44763,4909,16522,102184,4907,4908,4684,65202,4683,110089,113235,4332,100128,4910,44757,144170,65172,38399,75555,97208"
84,survey scientific large,title,20,"4909,4907,4908,4684,44763,4911,4683,4916,4910,97208,100128,102184,110089,146703,113235,4885,80633,16522,4867,144170"
85,survey cloud-edge-terminal collaborative,title,20,"64419,589,5029,5082,8980,19964,81066,124798,53299,108201,49685,100632,157143,49999,2975,2977,64365,8934,61861,2934"
86,survey data security,title,20,"5416,5159,5154,4939,78735,16972,13297,5027,102365,151622,121158,111235,18424,84659,124810,5024,5161,157422,5112,4968"
87,survey diffusion language,title,20,"38863,85393,143425,152543,34539,125346,64490,88067,84576,32269,93258,34561,83946,84589,143198,89661,38142,138987,79148,35383"
88,survey graph diffusion,title,20,"5301,104917,107123,101927,126451,5302,59976,59989,101926,37793,59987,59977,62527,14879,60011,62526,107131,107126,112089,5262"
89,survey towards privacy,title,20,"41828,8945,120736,81066,17292,81905,44643,82696,18760,33989,56571,47413,64419,55488,14872,2917,58036,12265,589,55714"
90,systematic investigation commonsense,title,20,"41577,8514,112248,9162,12513,89340,131713,70732,150568,70265,65073,715,85325,20493,4335,110950,133288,14074,42930,36071"
91,taxonomy data risks,title,20,"5416,4939,5159,5154,13297,16972,78735,111235,102365,18424,95436,5027,121158,151622,132946,84659,157422,127006,136784,102037"
92,theory multi-agent generative,title,20,"113871,34780,30274,120051,110578,20382,41182,105813,105811,85771,45535,59963,115667,55668,56379,120002,19692,91157,77671,110582"
93,traditional approach symbolic,title,20,"41577,112248,70121,4089,146295,89314,8514,131713,4189,9162,150568,715,65328,36071,70265,12513,89340,85613,105672,112940"
94,unified approach interpreting,title,20,"42904,20015,95097,86849,75680,117087,104923,11648,34929,28110,27375,57114,14062,145106,88867,7127,67873,77894,42551,105018"
95,unified framework diffusion,title,20,"30861,35565,17946,155611,151958,5183,75111,117603,111145,22088,34929,69420,129781,57480,19691,120677,112126,59296,5232,76810"
96,video worth tokens,title,20,"139271,105163,38961,145094,38976,46680,11144,96734,119268,97667,100114,139075,88563,105166,16749,88567,95704,17437,26993,115297"
97,vision-language pre-training model-guided,title,20,"25588,73757,55002,63635,145010,110925,75506,19755,3492,151117,25591,10605,127529,109229,24677,54986,147158,150981,80457,43439"
98,xai-based framework frequency,title,20,"1319,115504,39478,17984,56296,39254,90240,90242,57342,14320,7127,14487,55176,38857,151940,6432,1649,40691,3459,110313"
99,a2mamba attention-augmented state,title,20,"102404,76058,4062,56384,11163,4124,91163,98198,6386,133793,45191,4061,8039,70174,57760,4088,10047,155577,55226,77577"
100,abidegym turning static,title,20,"149878,156793,145502,130914,94694,128696,15011,131221,131219,128674,94255,126185,105548,133114,141029,140184,135804,103218,149874,1912"
